IGFS_CURindex,,,,,,
,Year,MgtArea,SppCode,CatchNo,ci_l,ci_u
,Year,MgtArea,SppCode,CatchNo,ci_l,ci_u
2005.VI&VIIbj.SDR,2005,VI&VIIbj,SDR,7.0146844,0.0101803,14.019189
2006.VI&VIIbj.SDR,2006,VI&VIIbj,SDR,5.6570697,2.5850514,8.729088
2007.VI&VIIbj.SDR,2007,VI&VIIbj,SDR,4.1227386,0.7768657,7.468611
2008.VI&VIIbj.SDR,2008,VI&VIIbj,SDR,3.4558626,1.7737492,5.137976
2009.VI&VIIbj.SDR,2009,VI&VIIbj,SDR,7.4370910,3.0316564,11.842526
2010.VI&VIIbj.SDR,2010,VI&VIIbj,SDR,6.2167199,3.5016904,8.931749
2011.VI&VIIbj.SDR,2011,VI&VIIbj,SDR,8.5812125,4.4955793,12.666846
2012.VI&VIIbj.SDR,2012,VI&VIIbj,SDR,5.3142418,2.9835803,7.644903
2013.VI&VIIbj.SDR,2013,VI&VIIbj,SDR,8.7210887,4.3051495,13.137028
2014.VI&VIIbj.SDR,2014,VI&VIIbj,SDR,12.0564651,4.9178126,19.195118
2015.VI&VIIbj.SDR,2015,VI&VIIbj,SDR,8.5905154,4.1709307,13.010100
2016.VI&VIIbj.SDR,2016,VI&VIIbj,SDR,19.3939047,-4.3264721,43.114282
2017.VI&VIIbj.SDR,2017,VI&VIIbj,SDR,12.7387116,5.5731604,19.904263
"2005.VIIa,e-h.SDR",2005,"VIIa,e-h",SDR,0.8887362,-0.2086088,1.986081
"2006.VIIa,e-h.SDR",2006,"VIIa,e-h",SDR,4.3128761,1.1707455,7.455007
"2007.VIIa,e-h.SDR",2007,"VIIa,e-h",SDR,16.1819658,-2.3343559,34.698287
"2008.VIIa,e-h.SDR",2008,"VIIa,e-h",SDR,8.3265975,1.1228231,15.530372
"2009.VIIa,e-h.SDR",2009,"VIIa,e-h",SDR,13.2866716,3.7655629,22.807780
"2010.VIIa,e-h.SDR",2010,"VIIa,e-h",SDR,15.7192884,5.2537811,26.184796
"2011.VIIa,e-h.SDR",2011,"VIIa,e-h",SDR,7.0271833,2.3808706,11.673496
"2012.VIIa,e-h.SDR",2012,"VIIa,e-h",SDR,9.2431302,3.3887234,15.097537
"2013.VIIa,e-h.SDR",2013,"VIIa,e-h",SDR,20.5385488,4.8389165,36.238181
"2014.VIIa,e-h.SDR",2014,"VIIa,e-h",SDR,19.9254638,5.4588397,34.392088
"2015.VIIa,e-h.SDR",2015,"VIIa,e-h",SDR,27.7570056,9.3807598,46.133251
"2016.VIIa,e-h.SDR",2016,"VIIa,e-h",SDR,41.5664189,12.0218676,71.110970
"2017.VIIa,e-h.SDR",2017,"VIIa,e-h",SDR,19.5549232,5.5752487,33.534598
,,,,,,
IGFS_SHRindex,,,,,,
,Year,MgtArea,SppCode,CatchNo,ci_l,ci_u
2005.27.6.SHR,2005,27-Jun,SHR,0.0000000,0.0000000,0.0000000
2006.27.6.SHR,2006,27-Jun,SHR,0.0000000,0.0000000,0.0000000
2007.27.6.SHR,2007,27-Jun,SHR,0.0459132,-0.0440750,0.1359015
2008.27.6.SHR,2008,27-Jun,SHR,0.0000000,0.0000000,0.0000000
2009.27.6.SHR,2009,27-Jun,SHR,0.0000000,0.0000000,0.0000000
2010.27.6.SHR,2010,27-Jun,SHR,0.0000000,0.0000000,0.0000000
2011.27.6.SHR,2011,27-Jun,SHR,0.0756557,-0.0726268,0.2239382
2012.27.6.SHR,2012,27-Jun,SHR,0.0000000,0.0000000,0.0000000
2013.27.6.SHR,2013,27-Jun,SHR,0.0000000,0.0000000,0.0000000
2014.27.6.SHR,2014,27-Jun,SHR,0.0000000,0.0000000,0.0000000
2015.27.6.SHR,2015,27-Jun,SHR,0.0000000,0.0000000,0.0000000
2016.27.6.SHR,2016,27-Jun,SHR,0.0000000,0.0000000,0.0000000
2017.27.6.SHR,2017,27-Jun,SHR,0.0000000,0.0000000,0.0000000
2005.27.7.SHR,2005,27-Jul,SHR,0.0210092,-0.0201680,0.0621864
2006.27.7.SHR,2006,27-Jul,SHR,0.0200056,-0.0192047,0.0592160
2007.27.7.SHR,2007,27-Jul,SHR,0.0000000,0.0000000,0.0000000
2008.27.7.SHR,2008,27-Jul,SHR,0.0207246,-0.0198949,0.0613440
2009.27.7.SHR,2009,27-Jul,SHR,0.1199782,-0.0279253,0.2678818
2010.27.7.SHR,2010,27-Jul,SHR,0.0983036,0.0121682,0.1844389
2011.27.7.SHR,2011,27-Jul,SHR,0.0000000,0.0000000,0.0000000
2012.27.7.SHR,2012,27-Jul,SHR,0.0000000,0.0000000,0.0000000
2013.27.7.SHR,2013,27-Jul,SHR,0.0000000,0.0000000,0.0000000
2014.27.7.SHR,2014,27-Jul,SHR,0.0000000,0.0000000,0.0000000
2015.27.7.SHR,2015,27-Jul,SHR,0.0484029,-0.0186579,0.1154637
2016.27.7.SHR,2016,27-Jul,SHR,0.0180861,-0.0173620,0.0535341
2017.27.7.SHR,2017,27-Jul,SHR,0.0513251,-0.0208264,0.1234766
,,,,,,
IGFS_THRindex,,,,,,
,Year,MgtArea,SppCode,CatchNo,ci_l,ci_u
2005.VI.THR,2005,VI,THR,2.7629085,0.6801962,4.8456207
2006.VI.THR,2006,VI,THR,5.7790264,2.2873264,9.2707264
2007.VI.THR,2007,VI,THR,4.7688700,1.0511896,8.4865505
2008.VI.THR,2008,VI,THR,5.9141523,2.3789803,9.4493243
2009.VI.THR,2009,VI,THR,5.9549895,2.2657019,9.6442772
2010.VI.THR,2010,VI,THR,13.0177704,3.2108589,22.8246820
2011.VI.THR,2011,VI,THR,11.0601588,3.1330985,18.9872192
2012.VI.THR,2012,VI,THR,14.2778318,4.2335776,24.3220860
2013.VI.THR,2013,VI,THR,13.9871127,1.5284019,26.4458234
2014.VI.THR,2014,VI,THR,7.9024815,1.7036192,14.1013439
2015.VI.THR,2015,VI,THR,8.4851509,2.5367379,14.4335640
2016.VI.THR,2016,VI,THR,17.2488209,2.0387944,32.4588473
2017.VI.THR,2017,VI,THR,13.3357901,6.3530299,20.3185502
2005.VIIfg.THR,2005,VIIfg,THR,0.3026740,-0.0438125,0.6491605
2006.VIIfg.THR,2006,VIIfg,THR,0.6704548,0.0941263,1.2467832
2007.VIIfg.THR,2007,VIIfg,THR,2.9096007,-0.2432727,6.0624741
2008.VIIfg.THR,2008,VIIfg,THR,2.3984419,-0.2675148,5.0643985
2009.VIIfg.THR,2009,VIIfg,THR,1.6080624,-0.1600967,3.3762215
2010.VIIfg.THR,2010,VIIfg,THR,3.3329117,-1.2540150,7.9198384
2011.VIIfg.THR,2011,VIIfg,THR,0.8085951,0.0357943,1.5813959
2012.VIIfg.THR,2012,VIIfg,THR,0.8763189,0.1553219,1.5973158
2013.VIIfg.THR,2013,VIIfg,THR,1.3925744,0.0977543,2.6873944
2014.VIIfg.THR,2014,VIIfg,THR,1.9400247,-0.1778191,4.0578686
2015.VIIfg.THR,2015,VIIfg,THR,2.1482724,-0.1148717,4.4114165
2016.VIIfg.THR,2016,VIIfg,THR,3.6507548,0.6109105,6.6905991
2017.VIIfg.THR,2017,VIIfg,THR,2.3858935,0.2473564,4.5244306
