Irish IGFS Q4 WBITS survey index,,,,,,,,,,,,,,,
Numbers per hour. Deep strata were only added in 2005 but this does not seem to affect the index,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
38,0,0,0,0.016891892,0.032119913,0.083240839,0.089739749,0.062111801,0.018270403,0.031520883,0.140588381,0.11360562,0.100468848,0.124481321,0.076800005
39,0.049403051,0,0,0.033783784,0.032119913,0.083240839,0.089739749,0.139751553,0.036540806,0.047281324,0.140588381,0.016229374,0.02009377,0.093360991,0.019200001
40,0.024701525,0.023809524,0,0.016891892,0.016059956,0.049944503,0.107687699,0.139751553,0.036540806,0.031520883,0.031241862,0.048688123,0.080375078,0.077800826,0.057600004
41,0.049403051,0,0,0.016891892,0.016059956,0.066592671,0.107687699,0.108695652,0.018270403,0.031520883,0.062483725,0.064917497,0.060281309,0.155601652,0.115200007
42,0.049403051,0,0,0.016891892,0.016059956,0.033296336,0.107687699,0.093167702,0.036540806,0.047281324,0.062483725,0.081146871,0,0.155601652,0.076800005
43,0.049403051,0.023809524,0,0.033783784,0.032119913,0.033296336,0.0358959,0.031055901,0.018270403,0.015760441,0.031241862,0.016229374,0.060281309,0.108921156,0.057600004
44,0.074104576,0,0.018382353,0.016891892,0.048179869,0.016648168,0.071791799,0.108695652,0.018270403,0.031520883,0.046862794,0.032458749,0.060281309,0.046680496,0.076800005
45,0.024701525,0,0,0,0.048179869,0,0.05384385,0.124223602,0,0,0.062483725,0.081146871,0.040187539,0.108921156,0.038400002
46,0.024701525,0.047619048,0.055147059,0,0.016059956,0.083240839,0.071791799,0.062111801,0.018270403,0.047281324,0.062483725,0.032458749,0.02009377,0.077800826,0.076800005
47,0,0,0,0,0.016059956,0,0.01794795,0.062111801,0.018270403,0,0.031241862,0,0.02009377,0.077800826,0.019200001
48,0,0,0,0.033783784,0.016059956,0.033296336,0.05384385,0.046583851,0.036540806,0.015760441,0.078104656,0.016229374,0,0.046680496,0.076800005
49,0,0.023809524,0.018382353,0.016891892,0.032119913,0.066592671,0.01794795,0.093167702,0.054811209,0,0,0.016229374,0,0.093360991,0.115200007
50,0.049403051,0.023809524,0.018382353,0.050675676,0,0.016648168,0,0.046583851,0.054811209,0,0,0.016229374,0.02009377,0.046680496,0.076800005
51,0.024701525,0,0,0,0,0.066592671,0.0358959,0.046583851,0.036540806,0,0.062483725,0.016229374,0,0.03112033,0
52,0.049403051,0,0,0.016891892,0,0,0.05384385,0.046583851,0.018270403,0.015760441,0,0.032458749,0,0,0.076800005
53,0.024701525,0,0,0.016891892,0,0.016648168,0,0.062111801,0.091352015,0.047281324,0.015620931,0.016229374,0.02009377,0.03112033,0.019200001
54,0.024701525,0.023809524,0.018382353,0,0,0,0,0.031055901,0,0.015760441,0.015620931,0.032458749,0.02009377,0.03112033,0.019200001
55,0.024701525,0,0,0.016891892,0,0.016648168,0.0358959,0.031055901,0.018270403,0.015760441,0.031241862,0.016229374,0,0,0.019200001
56,0.024701525,0,0,0,0,0,0.01794795,0.01552795,0,0,0,0.032458749,0.040187539,0.03112033,0.038400002
57,0,0,0,0.016891892,0,0,0.01794795,0.01552795,0.018270403,0.015760441,0.015620931,0,0.02009377,0.015560165,0.038400002
58,0,0,0,0.016891892,0,0.049944503,0.01794795,0.01552795,0.018270403,0.015760441,0.015620931,0.032458749,0,0.015560165,0.038400002
59,0,0,0.018382353,0,0,0.049944503,0,0.01552795,0,0.015760441,0.031241862,0,0.02009377,0,0.038400002
60,0,0.023809524,0.018382353,0,0.016059956,0,0,0,0,0,0,0.016229374,0.02009377,0,0.038400002
61,0,0.047619048,0,0,0,0,0.01794795,0,0,0,0,0.016229374,0,0.03112033,0
62,0,0,0.018382353,0,0,0.049944503,0.0358959,0,0.018270403,0.015760441,0.046862794,0.016229374,0,0.015560165,0
63,0,0.023809524,0.018382353,0,0,0.016648168,0,0.01552795,0.036540806,0,0.015620931,0,0.02009377,0.015560165,0
64,0,0,0,0.050675676,0,0,0.0358959,0.01552795,0,0,0.015620931,0.016229374,0,0.015560165,0.038400002
65,0,0.023809524,0,0,0,0.016648168,0,0.01552795,0.018270403,0,0,0,0,0,0
66,0,0,0,0,0,0,0.01794795,0,0,0.015760441,0,0.016229374,0.02009377,0,0
67,0,0,0,0,0,0,0.01794795,0.01552795,0,0.015760441,0,0,0,0,0
68,0,0,0,0,0.016059956,0,0.01794795,0.01552795,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0.01552795,0,0,0.015620931,0,0,0,0.019200001
73,0,0,0,0,0,0.016648168,0,0,0,0,0,0,0,0.015560165,0.019200001
74,0,0,0,0,0,0.016648168,0,0,0,0,0.015620931,0,0,0,0
76,0,0,0,0,0,0,0,0.01552795,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015560165,0
78,0,0,0,0,0,0,0,0,0,0,0.015620931,0,0,0,0
80,0,0,0,0,0,0,0,0.01552795,0,0,0,0.016229374,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015560165,0
