"Species","Data","Parameter","Year","Cohort","Linf","K","t0","Level"
"HAD","All VIIc data","Division",NA,"No","57.1244467506876","0.300627231584233","-1.44198436983413","VIIc"
"HAD","All VIIg data","Division",NA,"No","60.97472305975","0.263477058235145","-1.35071922267637","VIIg"
"HAD","All VIIj data","Division",NA,"No","68.8649656243012","0.216302355501546","-1.42593677938832","VIIj"
"HAD","All VIIk data","Division",NA,"No",NA,NA,NA,"VIIk"
"HER","All VIa data","Division",NA,"No","29.8342420302753","0.532347894627489","-1.22249074961994","VIa"
"HER","All VIIb data","Division",NA,"No","29.9542151170207","0.536059206495559","-1.19403766826092","VIIb"
"HER","All VIIg data","Division",NA,"No","27.7437090926535","0.572080528819889","-1.24272347305449","VIIg"
"HER","All VIIj data","Division",NA,"No","29.2043669260858","0.506407922536387","-1.40737147942484","VIIj"
"HOM","All VIa data","Division",NA,"No","34.1016043755107","0.29495098766356","-1.23065756338193","VIa"
"HOM","All VIIb data","Division",NA,"No","34.9102349113154","0.270267966215559","-1.37362180470436","VIIb"
"HOM","All VIIc data","Division",NA,"No","36.2281924952907","0.238376212214432","-1.69067863001382","VIIc"
"HOM","All VIIg data","Division",NA,"No","38.5458923438101","0.231606024182232","-1.46054598072316","VIIg"
"HOM","All VIIj data","Division",NA,"No","34.8881755085969","0.285508311831586","-1.23328717088154","VIIj"
"HOM","All VIIk data","Division",NA,"No",NA,NA,NA,"VIIk"
"MAC","All VIa data","Division",NA,"No","36.4345304753393","0.440728123241296","-1.81464091190297","VIa"
"MAC","All VIIb data","Division",NA,"No","35.6599626159782","0.454277914899335","-1.84476554134315","VIIb"
"MAC","All VIIc data","Division",NA,"No","35.2522092226805","0.578498294676847","-1.26480544446817","VIIc"
"MAC","All VIIg data","Division",NA,"No","33.6688126682457","0.633184170459862","-1.44447315861487","VIIg"
"MAC","All VIIj data","Division",NA,"No","33.8490173481094","0.717282822628385","-1.16579208373787","VIIj"
"MEG","All VIa data","Division",NA,"No","56.1202896902281","0.102869937768748","-2.66831589674447","VIa"
"MEG","All VIIb data","Division",NA,"No","54.5834159435972","0.109115603554545","-2.01069047099028","VIIb"
"MEG","All VIIc data","Division",NA,"No","72.9568471331108","0.0650655894748051","-2.40114010485308","VIIc"
"MEG","All VIIg data","Division",NA,"No","49.5571240278909","0.159556556928522","-1.98031259947715","VIIg"
"MEG","All VIIj data","Division",NA,"No","56.1076388454498","0.100733004308078","-2.63690256366648","VIIj"
"MEG","All VIIk data","Division",NA,"No",NA,NA,NA,"VIIk"
"PLE","All VIa data","Division",NA,"No","34.0210112274201","0.275165325817113","-1.84483241348041","VIa"
"PLE","All VIIb data","Division",NA,"No","37.1752925710225","0.210936523857652","-2.50512028135723","VIIb"
"PLE","All VIIc data","Division",NA,"No",NA,NA,NA,"VIIc"
"PLE","All VIIg data","Division",NA,"No","40.5830997738453","0.193999124461769","-2.76440483472847","VIIg"
"PLE","All VIIj data","Division",NA,"No",NA,NA,NA,"VIIj"
"POK","All VIa data","Division",NA,"No","130.713757906716","0.0811350306515784","-2.40096450974349","VIa"
"POK","All VIIb data","Division",NA,"No",NA,NA,NA,"VIIb"
"POK","All VIIg data","Division",NA,"No","-162.099999999677","-0.0420415586053287","-3.89410467739019","VIIg"
"POK","All VIIj data","Division",NA,"No",NA,NA,NA,"VIIj"
"POL","All VIa data","Division",NA,"No",NA,NA,NA,"VIa"
"POL","All VIIb data","Division",NA,"No","69.0850105375676","0.312041270418636","-0.989742040532297","VIIb"
"POL","All VIIg data","Division",NA,"No","125.999718283395","0.0769367801226324","-4.05758484188668","VIIg"
"POL","All VIIj data","Division",NA,"No","92.1226643479565","0.16820038671705","-2.05917023118856","VIIj"
"SOL","All VIa data","Division",NA,"No","31.5136381852265","0.357813410335134","-1.39439574431828","VIa"
"SOL","All VIIb data","Division",NA,"No","32.0936946226773","0.291972381284985","-1.95683225677796","VIIb"
"SOL","All VIIg data","Division",NA,"No","38.6307206157198","0.27825045171036","-1.99599361531311","VIIg"
"SOL","All VIIj data","Division",NA,"No","45.9433778700346","0.086224567868427","-6.94123863765695","VIIj"
"WHB","All VIa data","Division",NA,"No","35.0921651502749","0.309299566536658","-2.37120282449243","VIa"
"WHB","All VIIb data","Division",NA,"No","33.0786395231268","0.303079722527929","-2.52589643419845","VIIb"
"WHB","All VIIc data","Division",NA,"No","33.8729276743891","0.287926502591155","-2.54858928255943","VIIc"
"WHB","All VIIg data","Division",NA,"No","31.0068663953635","0.531149491738151","-1.70708535698497","VIIg"
"WHB","All VIIj data","Division",NA,"No","34.1985975826545","0.300347754892707","-2.44633888595782","VIIj"
"WHB","All VIIk data","Division",NA,"No","54.5457572268751","0.0900900773397709","-4.37709051794103","VIIk"
"WHG","All VIa data","Division",NA,"No","39.3194962134292","0.52769211792223","-1.00450929839893","VIa"
"WHG","All VIIb data","Division",NA,"No","46.8471795307972","0.364908768012306","-1.29777438917255","VIIb"
"WHG","All VIIc data","Division",NA,"No",NA,NA,NA,"VIIc"
"WHG","All VIIg data","Division",NA,"No","51.6631690708915","0.31976288430518","-1.31475918379749","VIIg"
"WHG","All VIIj data","Division",NA,"No","60.2531974224414","0.265246833119952","-1.32931123860374","VIIj"
"COD","2003 data","None","2003","No","181.390749746241","0.177993695355135","-0.386280946065919",NA
"COD","2004 data","None","2004","No","133.286784042673","0.212450761420684","-0.639390473194081",NA
"COD","2005 data","None","2005","No","117.030019068728","0.26316923354913","-0.648801900375377",NA
"COD","2006 data","None","2006","No",NA,NA,NA,NA
"COD","2007 data","None","2007","No",NA,NA,NA,NA
"COD","2008 data","None","2008","No","102.800190211911","0.335341504337562","-0.514010598518931",NA
"COD","2009 data","None","2009","No","-325.149710339873","-0.0498679114640243","-1.2715300743877",NA
"COD","2010 data","None","2010","No","133.952435145034","0.21466781638911","-0.546548249549586",NA
"COD","2011 data","None","2011","No","142.952546045788","0.209905509866697","-0.575454841432843",NA
"COD","2012 data","None","2012","No",NA,NA,NA,NA
"COD","2013 data","None","2013","No","307.509898327596","0.0702793943821404","-0.847937421559784",NA
"COD","2014 data","None","2014","No","134.065972159787","0.238688497052321","-0.422752351006035",NA
"COD","2015 data","None","2015","No","129.342405373288","0.27042728694926","-0.276821028715607",NA
"COD","2016 data","None","2016","No","128.034083133708","0.281731312896941","-0.327678503060013",NA
"COD","2017 data","None","2017","No","285.699428589814","0.0668719826328638","-1.47424471415075",NA
"COD","2018 data","None","2018","No","158.594663957752","0.159487978144563","-0.94930072775536",NA
"COD","2019 data","None","2019","No","117.929184271426","0.324358063096878","-0.242243183509714",NA
"COD","2020 data","None","2020","No","89.255226391485","0.440154599976399","-0.30687665067993",NA
"COD","2021 data","None","2021","No","161.502873763141","0.184758184694756","-0.67048856348486",NA
"COD","2022 data","None","2022","No","105.975896841246","0.427228543489008","-0.0933769801754521",NA
"COD","2023 data","None","2023","No",NA,NA,NA,NA
"COD","2024 data","None","2024","No",NA,NA,NA,NA
"COD","2025 data","None","2025","No",NA,NA,NA,NA
"DGS","2004 data","None","2004","No","80.7737719099369","0.285458048114702","-0.494991870859428",NA
"HAD","2003 data","None","2003","No","47.7112498667231","0.441529204414534","-0.899456556178299",NA
"HAD","2004 data","None","2004","No",NA,NA,NA,NA
"HAD","2005 data","None","2005","No","51.8291023833684","0.267654050249956","-1.590996806154",NA
"HAD","2006 data","None","2006","No","46.6361089479645","0.36234123361519","-1.41438884192554",NA
"HAD","2007 data","None","2007","No","45.2720465209432","0.452324544973174","-1.18747776205957",NA
"HAD","2008 data","None","2008","No","44.3654133676012","0.563660819494063","-0.84820663253685",NA
"HAD","2009 data","None","2009","No","43.7295014530047","0.537970538742496","-0.979984675562309",NA
"HAD","2010 data","None","2010","No","46.9996154685436","0.460337442305585","-0.897770823843344",NA
"HAD","2011 data","None","2011","No","54.2442230620803","0.267810692225262","-1.42979009696691",NA
"HAD","2012 data","None","2012","No","53.3669802731061","0.278281028498144","-1.54282817454044",NA
"HAD","2013 data","None","2013","No","51.4469493877472","0.32229337733763","-1.32031394513456",NA
"HAD","2014 data","None","2014","No","48.2830605745174","0.504911401182993","-0.882606131391437",NA
"HAD","2015 data","None","2015","No","49.3956093776788","0.441267444401681","-0.97557154547632",NA
"HAD","2016 data","None","2016","No","51.3628361297914","0.420670858295298","-0.893899371060073",NA
"HAD","2017 data","None","2017","No","54.8491067130019","0.328217042402519","-1.1329250341745",NA
"HAD","2018 data","None","2018","No","54.151328052842","0.26468793022759","-1.59283878876024",NA
"HAD","2019 data","None","2019","No","45.2984182784723","0.481038753405319","-0.968716340209006",NA
"HAD","2020 data","None","2020","No","45.7552904030203","0.429876993364513","-1.05924412614949",NA
"HAD","2021 data","None","2021","No","47.7298157485535","0.377041903939167","-1.18840381953901",NA
"HAD","2022 data","None","2022","No","49.3931454845479","0.377298797254484","-1.02192926046615",NA
"HAD","2023 data","None","2023","No","51.9085083460962","0.267454185823473","-1.47767031421179",NA
"HAD","2024 data","None","2024","No","56.1100463473561","0.209028395956962","-1.8464788904302",NA
"HAD","2025 data","None","2025","No","50.0277393536487","0.275113528473962","-1.64068388502772",NA
"HER","2003 data","None","2003","No","29.9600865977907","0.390768929741045","-1.97147607534936",NA
"HER","2004 data","None","2004","No","29.1489744926862","0.67118349733438","-0.973699529054224",NA
"HER","2005 data","None","2005","No","29.3924854693678","0.580794061353475","-1.2514514860104",NA
"HER","2006 data","None","2006","No","29.770888630417","0.531489775885907","-1.3188137815311",NA
"HER","2007 data","None","2007","No","30.5910124621882","0.389153441576979","-2.03656542293111",NA
"HER","2008 data","None","2008","No","28.9555195600147","0.779704413788086","-0.684336551601115",NA
"HER","2009 data","None","2009","No","29.6656639632187","0.564913242779285","-1.25752755780974",NA
"HER","2010 data","None","2010","No","30.6452772443602","0.45764668623174","-1.54317863680248",NA
"HER","2011 data","None","2011","No","30.5115545506107","0.485490069678627","-1.43777382003228",NA
"HER","2012 data","None","2012","No","29.4907380170902","0.540424978061877","-1.30589380616151",NA
"HER","2013 data","None","2013","No","30.2946339468747","0.501227769477536","-1.18931666601821",NA
"HER","2014 data","None","2014","No","29.2047311724217","0.559725118630729","-1.15731737900628",NA
"HER","2015 data","None","2015","No","29.2674344564961","0.534552494649972","-1.16634766044827",NA
"HER","2016 data","None","2016","No","29.9164298871301","0.446576201490213","-1.43234152265093",NA
"HER","2017 data","None","2017","No","29.3012573221205","0.476029641580346","-1.36321564114013",NA
"HER","2018 data","None","2018","No","29.2526992909471","0.466947808771588","-1.2752506246789",NA
"HER","2019 data","None","2019","No","29.1929071974463","0.470797213206176","-1.40958427695208",NA
"HER","2020 data","None","2020","No","29.7296185836561","0.427539137957214","-1.48616802674826",NA
"HER","2021 data","None","2021","No","28.7327817901368","0.485463100995266","-1.32876974035888",NA
"HER","2022 data","None","2022","No","27.993750553105","0.547076533873108","-1.26358197407238",NA
"HER","2023 data","None","2023","No","27.7627783919821","0.611486465721868","-1.11206829982997",NA
"HER","2024 data","None","2024","No","27.797621346204","0.650541210776471","-1.07708587910023",NA
"HER","2025 data","None","2025","No","28.2517589784732","0.562046834831978","-1.15526834006856",NA
"HOM","2003 data","None","2003","No","33.9854238268665","0.279930215090609","-1.33810358391598",NA
"HOM","2004 data","None","2004","No","32.1971292873165","0.36679549180202","-0.880867511224048",NA
"HOM","2005 data","None","2005","No","33.2126744179183","0.323739540115229","-0.957835578359148",NA
"HOM","2006 data","None","2006","No","35.1337734352548","0.214678169797567","-1.53369328690138",NA
"HOM","2007 data","None","2007","No","35.6216389905327","0.206953309624648","-1.50975499709967",NA
"HOM","2008 data","None","2008","No","34.4306025173479","0.237692544091791","-1.67488910053876",NA
"HOM","2009 data","None","2009","No","33.4831345685215","0.289911736190155","-1.30539759541135",NA
"HOM","2010 data","None","2010","No","33.274898810386","0.355927161542006","-0.986364548614996",NA
"HOM","2011 data","None","2011","No","33.1213624642611","0.348790537550092","-0.890689330863431",NA
"HOM","2012 data","None","2012","No","33.9787066652458","0.306455344178873","-1.00030980445031",NA
"HOM","2013 data","None","2013","No","34.9065249181656","0.273150812821346","-1.3731392086206",NA
"HOM","2014 data","None","2014","No","33.9824776828742","0.354990702934498","-1.13328775439583",NA
"HOM","2015 data","None","2015","No","35.0396683333399","0.298886343335045","-1.24689461740139",NA
"HOM","2016 data","None","2016","No","35.890388172756","0.25373008463664","-1.39588867416213",NA
"HOM","2017 data","None","2017","No","35.4951470391875","0.269980683758959","-1.34461523273969",NA
"HOM","2018 data","None","2018","No","36.5453858450211","0.240741969803602","-1.60197271739884",NA
"HOM","2019 data","None","2019","No","35.8943047423013","0.255653961162484","-1.4041653633915",NA
"HOM","2020 data","None","2020","No","37.0238966735281","0.251710930371599","-1.27177230134847",NA
"HOM","2021 data","None","2021","No","37.3629686072776","0.229337390035843","-1.49733411060968",NA
"HOM","2022 data","None","2022","No","37.4630130593832","0.217977869003356","-1.75694817555932",NA
"HOM","2024 data","None","2024","No","38.313229184988","0.224835309975185","-1.66302876896118",NA
"HOM","2025 data","None","2025","No","37.2799064116499","0.253407439378665","-1.42827289885411",NA
"MAC","2003 data","None","2003","No","34.6571810347039","0.433764416884502","-2.2022673425143",NA
"MAC","2004 data","None","2004","No","34.6964344894833","0.581755099752024","-1.49682822418777",NA
"MAC","2005 data","None","2005","No","35.820146446391","0.482715506891685","-1.57107538174874",NA
"MAC","2006 data","None","2006","No","36.5906949006094","0.434326247775741","-1.68516519247082",NA
"MAC","2007 data","None","2007","No","38.3189982306234","0.343783113950397","-2.13090570410176",NA
"MAC","2008 data","None","2008","No","36.0567757367409","0.414632361775626","-1.99272278528173",NA
"MAC","2009 data","None","2009","No","36.2418083147081","0.373384644561096","-2.43172220291516",NA
"MAC","2010 data","None","2010","No","35.3287442500303","0.458067746046066","-1.88532348522952",NA
"MAC","2011 data","None","2011","No","34.8813925675208","0.606375559126817","-1.15417261833995",NA
"MAC","2012 data","None","2012","No","35.5423480807293","0.410272346170852","-1.87224775883878",NA
"MAC","2013 data","None","2013","No","36.6262340133324","0.376980947531897","-2.05886924958712",NA
"MAC","2014 data","None","2014","No","34.0144379021646","0.654380520773419","-1.4837081324901",NA
"MAC","2015 data","None","2015","No","35.3855685296812","0.595267407457543","-1.20802490109891",NA
"MAC","2016 data","None","2016","No","34.8758658731531","0.625397168349309","-1.25283493296621",NA
"MAC","2017 data","None","2017","No","33.8989926409163","0.691076929124832","-1.19763134336761",NA
"MAC","2018 data","None","2018","No","34.601657334225","0.665060261298293","-1.33214725080914",NA
"MAC","2019 data","None","2019","No","35.7360623253945","0.63035606821806","-1.31535484607769",NA
"MAC","2020 data","None","2020","No","37.6650799387471","0.377470164567531","-2.11968680871167",NA
"MAC","2021 data","None","2021","No","34.3332789439083","0.832185378534858","-1.00955521762806",NA
"MAC","2022 data","None","2022","No","36.8617380306896","0.443588381799376","-1.94634472681337",NA
"MAC","2023 data","None","2023","No","36.0807197240196","0.642160228053237","-1.34227431852878",NA
"MAC","2024 data","None","2024","No","35.6706554863912","0.644622258145957","-1.40051019231963",NA
"MAC","2025 data","None","2025","No","36.5267778592224","0.584715872321944","-1.44212041580385",NA
"MEG","2003 data","None","2003","No","103.592901293804","0.0451375786703382","-2.89838452803001",NA
"MEG","2004 data","None","2004","No",NA,NA,NA,NA
"MEG","2005 data","None","2005","No","62.2777346929353","0.0846387843946231","-2.65917405318024",NA
"MEG","2006 data","None","2006","No","88.9421170589075","0.0504289583696635","-3.25221071100732",NA
"MEG","2007 data","None","2007","No","184.908735333297","0.0200789711489571","-4.19178146604489",NA
"MEG","2008 data","None","2008","No","65.1519344343868","0.0967296533416612","-2.36823296966519",NA
"MEG","2009 data","None","2009","No","69.7766968477962","0.0786865370622551","-1.89367680229561",NA
"MEG","2010 data","None","2010","No","70.6544263906413","0.0838772148990396","-1.67892070855961",NA
"MEG","2011 data","None","2011","No","54.6485202275591","0.131697234229499","-1.32043985998873",NA
"MEG","2012 data","None","2012","No","49.6395888156817","0.165742159707588","-1.7108682577177",NA
"MEG","2013 data","None","2013","No","49.1051835015342","0.148595273514504","-2.43780638384594",NA
"MEG","2014 data","None","2014","No","48.0947398331102","0.171428016833862","-1.67198826862261",NA
"MEG","2015 data","None","2015","No","50.5224469141189","0.137570464044741","-2.17557507336449",NA
"MEG","2016 data","None","2016","No","47.4507902057416","0.168161093264667","-1.63464994219544",NA
"MEG","2017 data","None","2017","No","47.3368395636222","0.16378666367761","-1.79344286928119",NA
"MEG","2018 data","None","2018","No","43.8008398723617","0.214950680824281","-1.13405608861678",NA
"MEG","2019 data","None","2019","No","48.6970850810421","0.165585583993341","-1.31402924289298",NA
"MEG","2020 data","None","2020","No","50.1237652500876","0.153963493236849","-1.63419129348032",NA
"MEG","2021 data","None","2021","No","46.5254507523227","0.191806005031539","-1.22915387015805",NA
"MEG","2022 data","None","2022","No","44.2695158678804","0.199910911387286","-1.3715438645123",NA
"MEG","2023 data","None","2023","No","62.8178541946032","0.0848715050267856","-1.95974804044327",NA
"MEG","2024 data","None","2024","No","51.6582976095115","0.118014123935895","-1.62358638749539",NA
"MEG","2025 data","None","2025","No","137.071005462822","0.0268449639856379","-3.39369225095992",NA
"PLE","2003 data","None","2003","No","35.9877853326919","0.328271818944794","-1.42837565224079",NA
"PLE","2004 data","None","2004","No",NA,NA,NA,NA
"PLE","2005 data","None","2005","No","44.9607551555735","0.167406109361703","-1.93989567280532",NA
"PLE","2006 data","None","2006","No","37.8781517589511","0.273055048809882","-1.58304689796521",NA
"PLE","2007 data","None","2007","No","33.6926885689648","0.431452305532553","-0.677203310200256",NA
"PLE","2008 data","None","2008","No","33.6634111917774","0.349656806502903","-1.64960435077577",NA
"PLE","2009 data","None","2009","No","36.7903406962796","0.266562399273249","-1.71101428780291",NA
"PLE","2010 data","None","2010","No","35.0569916091825","0.306768139523703","-1.50520611308004",NA
"PLE","2011 data","None","2011","No","38.4072086199197","0.216625888203778","-2.31660287703706",NA
"PLE","2012 data","None","2012","No","34.4574539464021","0.334774238041722","-1.46545699621809",NA
"PLE","2013 data","None","2013","No","36.4683944414395","0.259855112743668","-2.05241097633258",NA
"PLE","2014 data","None","2014","No","34.8677877919653","0.367752017962354","-1.07601206360127",NA
"PLE","2015 data","None","2015","No","36.1970247274666","0.309098301805103","-1.47316654845106",NA
"PLE","2016 data","None","2016","No","35.9836411047887","0.288398370964118","-1.58854191566321",NA
"PLE","2017 data","None","2017","No","34.9762992065468","0.296099357521371","-1.57776233022132",NA
"PLE","2018 data","None","2018","No","39.9406590210162","0.161192820863235","-3.45222878272691",NA
"PLE","2019 data","None","2019","No","37.8135059627299","0.210762310809401","-2.66758875762588",NA
"PLE","2020 data","None","2020","No",NA,NA,NA,NA
"PLE","2021 data","None","2021","No","35.3863503442075","0.259061597055416","-2.09294282190463",NA
"PLE","2022 data","None","2022","No","59.5714918078606","0.0621900842932602","-6.06949354582303",NA
"PLE","2023 data","None","2023","No","40.6104526204816","0.163684151414885","-2.96425373791632",NA
"PLE","2024 data","None","2024","No","52.5796642758159","0.0811139769859633","-5.07216657531461",NA
"PLE","2025 data","None","2025","No","38.0220237759912","0.18611739293038","-2.78931748654284",NA
"POK","2003 data","None","2003","No","-124.325474806073","-0.0373791494554029","-5.57710362193909",NA
"POK","2004 data","None","2004","No","61.6646345508107","0.386465301342704","-0.383253971199434",NA
"POK","2007 data","None","2007","No","239.891868765696","0.0425139656478825","-2.31019940280337",NA
"POK","2016 data","None","2016","No",NA,NA,NA,NA
"POK","2017 data","None","2017","No","331.119917414544","0.0287365823354846","-2.18963594952901",NA
